Section,h,b,tw,tf,r,hi,d,A,AL,Iy,Wel_y,Wpl_y,iy,Avz,Iz,Wel_z,Wpl_z,iz,Ss,It,Iw,Flexure_Class_S355,Flexure_Class_S460,Flexure_Class_S355,Flexure_Class_S460
IPE 750 x 220,779.0,266.0,16.5,30.0,20.0,719.0,679.0,280.7,2.555,279390.0,7173.0,8231.0,31.4,139.0,9443.0,710.0,1114.0,5.7,9.9,620.5,13190.0,1.0,1,4.0,4
IPE 750 x 196,770.0,268.0,15.6,25.4,20.0,719.0,679.0,250.8,2.546,241470.0,6271.0,7207.0,30.9,129.7,8177.0,610.2,960.1,5.6,8.9,416.5,11290.0,1.0,1,4.0,4
IPE 750 x 173,762.0,267.0,14.4,21.6,20.0,719.0,679.0,221.3,2.529,207010.0,5433.0,6251.0,30.5,118.6,6875.0,515.0,811.1,5.5,8.1,278.7,9390.0,1.0,1,4.0,4
IPE 750 x 147,753.0,265.0,13.2,17.0,20.0,719.0,679.0,187.5,2.505,167250.0,4442.0,5143.0,29.7,107.3,5291.0,399.3,632.0,5.2,7.0,163.2,7140.0,1.0,1,4.0,4
IPE 750 x 134,750.0,264.0,12.0,15.5,20.0,719.0,679.0,170.6,2.498,151890.0,4050.0,4678.0,29.7,97.77,4767.0,361.2,569.6,5.2,6.6,124.9,6410.0,1.0,2,4.0,4
IPE V 600,618.0,228.0,18.0,28.0,24.0,562.0,514.0,233.8,2.071,141580.0,4581.0,5324.0,24.6,124.5,5569.0,488.5,780.3,4.8,10.2,505.8,4813.0,1.0,1,2.0,3
IPE O 600,610.0,224.0,15.0,24.0,24.0,562.0,514.0,196.8,2.045,118300.0,3878.0,4471.0,24.5,104.3,4520.0,403.6,640.0,4.7,9.1,316.3,3859.0,1.0,1,4.0,4
IPE 600,600.0,220.0,12.0,19.0,24.0,562.0,514.0,156.0,2.015,92080.0,3069.0,3512.0,24.2,83.78,3387.0,307.9,485.6,4.6,7.8,165.2,2845.0,1.0,1,4.0,4
IPE A 600,597.0,220.0,9.8,17.5,24.0,562.0,514.0,137.0,2.013,82910.0,2777.0,3141.0,24.5,70.13,3116.0,283.2,442.0,4.7,7.2,122.1,2607.0,1.0,2,4.0,4
IPE O 550,556.0,212.0,12.7,20.2,24.0,515.6,467.6,156.1,1.893,79150.0,2847.0,3263.0,22.5,82.68,3224.0,304.1,480.5,4.5,8.1,187.1,2302.0,1.0,1,4.0,4
IPE 550,550.0,210.0,11.1,17.2,24.0,515.6,467.6,134.4,1.877,67110.0,2440.0,2787.0,22.3,72.34,2667.0,254.0,400.5,4.4,7.3,122.8,1884.0,1.0,1,4.0,4
IPE A 550,547.0,210.0,9.0,15.7,24.0,515.6,467.6,117.3,1.875,59970.0,2193.0,2474.0,22.6,60.29,2432.0,231.6,361.5,4.5,6.8,89.29,1710.0,1.0,2,4.0,4
IPE AA 550,541.0,210.0,8.5,12.5,24.0,515.6,467.6,101.3,1.864,49550.0,1831.0,2078.0,22.1,55.86,1937.0,184.5,289.6,4.3,6.1,56.18,1347.0,1.0,2,4.0,4
